Date : 2026-03-11 19:49:28
Directory : c:\E-Commerce Website (Full) - Copy (3)
Total : 736 files,  170514 codes, 4477 comments, 15768 blanks, all 190759 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         36 |     70,339 |          0 |          9 |     70,348 |
| TypeScript JSX     |        216 |     39,382 |      1,695 |      4,907 |     45,984 |
| JavaScript         |        323 |     34,130 |      2,292 |      6,080 |     42,502 |
| CSS                |         70 |     16,945 |          0 |      2,629 |     19,574 |
| TypeScript         |         54 |      6,315 |        392 |      1,099 |      7,806 |
| Markdown           |         19 |      2,110 |          0 |        770 |      2,880 |
| HTML               |         11 |        768 |          0 |        132 |        900 |
| MS SQL             |          1 |        420 |         90 |        117 |        627 |
| XML                |          2 |         46 |          0 |          9 |         55 |
| PowerShell         |          3 |         42 |          8 |         14 |         64 |
| JSON with Comments |          1 |         17 |          0 |          2 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        736 |    170,514 |      4,477 |     15,768 |    190,759 |
| . (Files)                                                                                             |         18 |      1,012 |          8 |        136 |      1,156 |
| api                                                                                                   |          1 |         54 |         15 |         12 |         81 |
| backend                                                                                               |        182 |     48,938 |      1,138 |      3,417 |     53,493 |
| backend (Files)                                                                                       |         21 |     10,689 |         52 |        330 |     11,071 |
| backend\config                                                                                        |          2 |        129 |          1 |         21 |        151 |
| backend\controllers                                                                                   |         21 |      5,757 |        215 |        934 |      6,906 |
| backend\data                                                                                          |          9 |     21,266 |          2 |          3 |     21,271 |
| backend\docs                                                                                          |          2 |         74 |          0 |         37 |        111 |
| backend\email-templates                                                                               |          5 |        329 |          0 |         57 |        386 |
| backend\jobs                                                                                          |          1 |         97 |          5 |         19 |        121 |
| backend\lib                                                                                           |          1 |         39 |          0 |         11 |         50 |
| backend\middleware                                                                                    |          7 |        297 |         19 |         62 |        378 |
| backend\models                                                                                        |         24 |      3,348 |        281 |        560 |      4,189 |
| backend\routes                                                                                        |         30 |      1,198 |        219 |        282 |      1,699 |
| backend\scripts                                                                                       |         12 |        789 |         59 |        142 |        990 |
| backend\services                                                                                      |         24 |      2,803 |        182 |        497 |      3,482 |
